nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,101855,2024-12-26T09:52:40Z,2026-03-03T14:00:03Z,432,0,Python,25,1,41,677,0.9428969359331476
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,100077,2023-11-21T18:24:03Z,2026-03-03T14:09:00Z,832,0,TypeScript,747,62,161,4829,0.9677354709418837
angular/angular,https://github.com/angular/angular,100028,2014-09-18T16:12:01Z,2026-03-03T13:31:49Z,4183,0,TypeScript,5624,606,999,29367,0.9671013633669235
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,99460,2016-07-17T15:33:47Z,2026-03-03T14:07:14Z,3515,0,JavaScript,1079,13,131,378,0.7426326129666012
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,99280,2024-04-29T05:30:25Z,2026-03-03T14:04:33Z,673,0,Python,170,0,0,119,1.0
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,98456,2020-02-29T10:43:49Z,2026-03-03T12:57:37Z,2194,0,Dockerfile,613,4,462,364,0.4406779661016949
supabase/supabase,https://github.com/supabase/supabase,98441,2019-10-12T05:56:49Z,2026-03-03T13:57:52Z,2334,0,TypeScript,15513,25,273,4956,0.9477911646586346
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,98165,2017-08-24T13:18:26Z,2026-03-03T12:52:18Z,3113,0,,110,0,13,31,0.7045454545454546
mui/material-ui,https://github.com/mui/material-ui,97965,2014-08-18T19:11:54Z,2026-03-03T13:03:45Z,4214,0,JavaScript,21471,555,1596,18749,0.9215532071762104
pytorch/pytorch,https://github.com/pytorch/pytorch,97893,2016-08-13T05:26:41Z,2026-03-03T14:01:11Z,3489,0,Python,6428,64,16094,40970,0.7179657927940558
2dust/v2rayN,https://github.com/2dust/v2rayN,97798,2019-07-30T03:47:24Z,2026-03-03T13:31:12Z,2408,0,C#,394,299,6,6587,0.9990899438798726
ant-design/ant-design,https://github.com/ant-design/ant-design,97637,2015-04-24T15:37:24Z,2026-03-03T12:04:43Z,3965,0,TypeScript,17041,740,1288,31106,0.9602395505340495
neovim/neovim,https://github.com/neovim/neovim,96897,2014-01-31T13:39:22Z,2026-03-03T13:40:27Z,4414,0,Vim Script,17717,48,1642,12101,0.8805209925052754
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,96439,2023-03-10T18:58:00Z,2026-03-03T13:55:50Z,1088,0,C++,7460,1000,433,6667,0.9390140845070423
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,96305,2025-04-17T17:04:31Z,2026-03-03T14:10:11Z,319,0,TypeScript,5189,386,1998,8602,0.8115094339622642
fastapi/fastapi,https://github.com/fastapi/fastapi,95781,2018-12-08T08:21:47Z,2026-03-03T13:37:14Z,2642,0,Python,3163,269,11,3494,0.9968616262482168
nvbn/thefuck,https://github.com/nvbn/thefuck,95585,2015-04-08T15:08:04Z,2026-03-03T12:47:14Z,3981,0,Python,481,17,297,477,0.6162790697674418
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95372,2020-11-10T02:44:00Z,2026-03-03T12:16:21Z,1939,0,JavaScript,654,0,59,361,0.8595238095238096
openai/whisper,https://github.com/openai/whisper,95361,2022-09-16T20:02:54Z,2026-03-03T13:56:03Z,1263,0,Python,119,13,0,0,
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94310,2016-11-25T22:25:41Z,2026-03-03T05:30:39Z,3384,0,JavaScript,149,0,80,165,0.673469387755102
immich-app/immich,https://github.com/immich-app/immich,93904,2022-02-03T15:56:27Z,2026-03-03T13:49:46Z,1488,0,TypeScript,8700,287,517,7477,0.9353264948711534
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,93859,2017-10-06T14:59:14Z,2026-03-03T12:26:57Z,3069,0,TypeScript,3302,300,50,4719,0.9895156217236318
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93789,2014-08-09T16:45:18Z,2026-03-03T05:51:20Z,4223,0,Java,1520,0,139,839,0.8578732106339468
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,93695,2017-05-09T22:16:13Z,2026-03-03T13:17:35Z,3219,0,TypeScript,5829,644,259,7063,0.9646271510516252
nvm-sh/nvm,https://github.com/nvm-sh/nvm,91983,2010-04-15T17:47:47Z,2026-03-03T13:41:12Z,5800,0,Shell,741,71,331,2062,0.8616798997074802
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91899,2025-01-20T11:57:28Z,2026-03-03T13:49:33Z,407,0,,10,1,26,664,0.9623188405797102
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,90882,2019-02-25T18:36:56Z,2026-03-03T13:59:00Z,2562,0,,151,0,144,51,0.26153846153846155
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90291,2017-04-17T03:35:49Z,2026-03-03T07:58:25Z,3242,0,Vue,311,49,1257,2356,0.6520896761693883
microsoft/markitdown,https://github.com/microsoft/markitdown,89918,2024-11-13T19:56:40Z,2026-03-03T14:08:22Z,474,0,Python,170,18,302,83,0.21558441558441557
storybookjs/storybook,https://github.com/storybookjs/storybook,89349,2016-03-18T04:23:44Z,2026-03-03T13:24:26Z,3637,0,TypeScript,12265,1000,2112,12039,0.850752596989612
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,88332,2010-12-19T15:16:43Z,2026-03-03T13:52:25Z,5552,0,C++,16154,63,364,8643,0.9595869878983013
gin-gonic/gin,https://github.com/gin-gonic/gin,88148,2014-06-16T23:57:25Z,2026-03-03T13:18:16Z,4277,0,Go,1223,29,595,1786,0.750104997900042
oven-sh/bun,https://github.com/oven-sh/bun,87801,2021-04-14T00:48:17Z,2026-03-03T14:09:46Z,1784,0,Zig,7173,210,4831,10940,0.6936782702428508
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,87678,2024-04-15T21:02:29Z,2026-03-03T14:03:28Z,686,0,TypeScript,1346,32,45,778,0.945321992709599
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,87415,2023-03-10T18:27:54Z,2026-03-03T13:55:55Z,1088,0,TypeScript,894,77,683,2899,0.809324399776661
django/django,https://github.com/django/django,86943,2012-04-28T02:47:18Z,2026-03-03T13:39:08Z,5057,0,Python,10317,0,0,0,
gohugoio/hugo,https://github.com/gohugoio/hugo,86879,2013-07-04T15:26:26Z,2026-03-03T13:18:19Z,4624,0,Go,3237,365,242,7791,0.9698742686418523
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,86788,2023-07-23T18:15:57Z,2026-03-03T14:00:13Z,953,0,Jupyter Notebook,480,0,2,216,0.9908256880733946
opencv/opencv,https://github.com/opencv/opencv,86396,2012-07-19T09:40:17Z,2026-03-03T11:54:20Z,4975,0,C++,13502,67,2569,8860,0.7752209292151544
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,86395,2014-11-01T23:52:32Z,2026-03-03T14:09:16Z,4139,0,TypeScript,2582,179,1366,2209,0.6179020979020979
sveltejs/svelte,https://github.com/sveltejs/svelte,85944,2016-11-20T18:13:05Z,2026-03-03T13:49:43Z,3389,0,JavaScript,6512,605,915,8006,0.8974330232036767
